Time,HR,Temp,BVP,x,y,z
00:07:07,77.55,38.18,-24.93,30,36,-24
00:07:08,77.55,38.18,-17.25,32,47,-17
00:07:09,77.55,38.16,-9.71,38,44,-18
00:07:10,77.55,38.16,-2.22,42,39,-18
00:07:11,77.57,38.16,5.44,50,50,-19
00:07:12,77.57,38.16,13.48,45,45,-25
00:07:13,77.58,38.15,21.93,42,40,-26
00:07:14,77.58,38.15,30.62,46,40,-23
00:07:15,77.6,38.15,39.29,55,39,-25
00:07:16,77.62,38.15,47.71,51,36,-25
00:07:17,77.67,38.13,55.76,49,31,-20
00:07:18,77.72,38.13,63.27,51,30,-20
00:07:19,77.78,38.13,69.92,49,29,-24
00:07:20,77.83,38.13,75.14,53,30,-21
00:07:21,77.92,38.13,78.2,54,23,-23
00:07:22,78.02,38.13,78.51,63,28,-21
00:07:23,78.08,38.13,75.96,54,21,-25
00:07:24,78.13,38.13,71.1,89,39,-14
00:07:25,78.17,38.11,65.13,67,21,-23
00:07:26,78.18,38.11,59.54,62,17,-23
00:07:27,78.2,38.11,55.81,63,12,-21
00:07:28,78.22,38.11,54.92,60,7,-21
00:07:29,78.22,38.13,57.24,58,5,-20
00:07:30,78.2,38.13,62.5,54,2,-17
00:07:31,78.18,38.13,69.98,57,-3,-18
00:07:32,78.17,38.13,78.69,54,-8,-19
00:07:33,78.18,38.11,87.55,51,-10,-14
00:07:34,78.2,38.11,95.59,46,-20,-12
00:07:35,78.2,38.11,102.05,47,-23,-11
00:07:36,78.22,38.11,106.55,46,-23,-11
00:07:37,78.27,38.07,109.04,49,-23,-13
00:07:38,78.33,38.07,109.68,49,-24,-10
00:07:39,78.4,38.07,108.82,48,-27,-7
00:07:40,78.45,38.07,106.71,49,-24,-8
00:07:41,78.48,38.09,103.53,57,-25,-15
00:07:42,78.52,38.09,99.38,58,-25,-11
00:07:43,78.57,38.09,94.31,54,-31,-14
00:07:44,78.58,38.09,88.42,53,-33,-14
00:07:45,78.6,38.07,81.79,45,-32,-9
00:07:46,78.58,38.07,74.54,43,-34,-9
00:07:47,78.57,38.07,66.83,46,-34,-11
